State,Hospital name,Establishment ID,Medicare Provider No.,Local Hospital Network identifier,Local Hospital Network,Address Line 1,Address Line 2,asgc_ra,Remoteness area,Number of available beds,2012-13 Peer Group code,Peer Group Name,Provided data for NPHED,Provided data for NHMD,Provided data for NAPEDCD,Provided data for ESWT,Provided data for NNAPCD,IHPA funding designation
NSW,St Joseph's Auburn,1169D2130,0010430F,118,St Vincent's Health Network,19a Alice                                         St,Auburn                                                 2144,0,Major Cities,71.7,N1,Mixed subacute and non-acute,Yes,Yes,No,No,Yes,Activity-based funded hospital
NSW,St Vincent's Darlinghurst,1169A2120,0010460Y,118,St Vincent's Health Network,390 Victoria                                      St,Darlinghurst                                           2010,0,Major Cities,423.1,PR,Principal referral,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
NSW,Sutherland,1172C2140,0010480W,101,South Eastern Sydney,430 Kingsway,Caringbah                                              2229,0,Major Cities,314.4,L,Public acute group A,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
NSW,Sydney Children's,1163C2380,0010260H,117,Sydney Children's Hospitals Network,1 High                                          St,Randwick                                               2031,0,Major Cities,145.8,W3,Childrens,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
NSW,Sydney Dental,1172C1530,,101,South Eastern Sydney,2 Chalmers                                      St,Surry Hills                                            2010,0,Major Cities,0,O5,Unpeered,Yes,No,No,No,Yes,Block-funded hospital
NSW,Sydney/ Sydney Eye,1172A2330,0010500H,101,South Eastern Sydney,8 Macquarie                                     St,Sydney                                                 2000,0,Major Cities,60.9,M,Public acute group B,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
NSW,Tamworth,1180J2160,0012090T,109,Hunter New England,31 Dean                                          St,North Tamworth                                         2340,1,Inner Regional,279.2,L,Public acute group A,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
NSW,Temora,1184R2160,0012100H,114,Murrumbidgee,119 Gloucester                                    St,Temora                                                 2666,2,Outer Regional,27.8,S1,Public acute group C,Yes,Yes,Yes,No,Yes,Block-funded hospital
NSW,The Tweed Hospital,1181H2230,0012690L,111,Northern NSW,14 Powell                                        St,Tweed Heads                                            2485,0,Major Cities,242,L,Public acute group A,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
NSW,Thomas Walker,1470A2360,,102,Sydney,Hospital                                      Rd,Concord Repatriation Hospital                          2139,0,Major Cities,16.4,Ps,Psychiatric,Yes,Yes,No,No,No,Block-funded hospital
NSW,Tibooburra,1186S2030,0012120B,115,Far West,1 Sturt                                         St,Tibooburra                                             2880,4,Very remote,0,OT,Outpatient hospital,Yes,No,Yes,No,Yes,Block-funded hospital
NSW,Tingha (MPS),1180J2170,0012130A,109,Hunter New England,1 Inverell                                      Rd,Tingha                                                 2369,2,Outer Regional,9,OT,Outpatient hospital,Yes,No,Yes,No,Yes,Block-funded hospital
NSW,Tocumwal,1184M2140,0012140Y,114,Murrumbidgee,1 Adams                                         St,Tocumwal                                               2714,1,Inner Regional,5.4,S2,Public acute group D,Yes,Yes,Yes,No,Yes,Block-funded hospital
NSW,Tomaree Community,1180Q2250,0010000F,109,Hunter New England,2 Trevally                                      St,Nelson Bay                                             2315,1,Inner Regional,10.8,S2,Public acute group D,Yes,Yes,Yes,No,Yes,Block-funded hospital
NSW,Tottenham (MPS),1185L2230,0012150X,112,Western NSW,Lot 10 Moondana                                      St,Tottenham                                              2873,3,Remote,10,VS,Very small,Yes,Yes,Yes,No,Yes,Block-funded hospital
NSW,Trangie (MPS),1185K2190,0012160W,112,Western NSW,28 Harris                                        St,Trangie                                                2823,2,Outer Regional,19.9,VS,Very small,Yes,Yes,Yes,No,Yes,Block-funded hospital
NSW,Tresillian Care Centres,1170A2340,0010350F,102,Sydney,571 Canterbury                                    Rd,Campsie                                                2194,0,Major Cities,70.6,O1,Early parenting centres,Yes,Yes,No,No,Yes,Block-funded hospital
NSW,Trundle (MPS),1185L2190,0012580X,112,Western NSW,44 Brookview                                     St,Trundle                                                2875,2,Outer Regional,11,VS,Very small,Yes,Yes,Yes,No,Yes,Block-funded hospital
NSW,Tullamore (MPS),1185L2240,0012170T,112,Western NSW,1 Hinkler                                       St,Tullamore                                              2874,2,Outer Regional,15.9,VS,Very small,Yes,Yes,Yes,No,Yes,Block-funded hospital
NSW,Tumbarumba (MPS),1184M2150,0012180L,114,Murrumbidgee,4 Mitchell                                      St,Tumbarumba                                             2653,2,Outer Regional,42.7,S2,Public acute group D,Yes,Yes,Yes,No,Yes,Block-funded hospital
NSW,Tumut,1184R2180,0012190K,114,Murrumbidgee,105 Simpson                                       St,Tumut                                                  2720,1,Inner Regional,28.6,S1,Public acute group C,Yes,Yes,Yes,Yes,Yes,Block-funded hospital
NSW,Urana (MPS),1184M2130,0011620L,114,Murrumbidgee,127 Princess                                      St,Urana                                                  2645,2,Outer Regional,22,VS,Very small,Yes,Yes,Yes,No,Yes,Block-funded hospital
NSW,Urbenville (MPS),1181H2240,0012230X,111,Northern NSW,45 Beaury                                        St,Urbenville                                             2475,2,Outer Regional,22,VS,Very small,Yes,Yes,Yes,No,Yes,Block-funded hospital
NSW,Vegetable Creek (MPS),1180J2180,0012240W,109,Hunter New England,13 Glen Innes                                    Rd,Emmaville                                              2371,2,Outer Regional,17,VS,Very small,Yes,Yes,Yes,No,Yes,Block-funded hospital
NSW,Wagga Wagga,1184R2190,0012250T,114,Murrumbidgee,260 Edward                                        St,Wagga Wagga                                            2650,1,Inner Regional,298.2,L,Public acute group A,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
NSW,Walcha (MPS),1180J2190,0012270K,109,Hunter New England,7 South                                         St,Walcha                                                 2354,2,Outer Regional,24,S2,Public acute group D,Yes,Yes,Yes,No,Yes,Block-funded hospital
NSW,Walgett (MPS),1185K2200,0012280J,112,Western NSW,141 Fox                                           St,Walgett                                                2832,3,Remote,14.8,S2,Public acute group D,Yes,Yes,Yes,No,Yes,Block-funded hospital
NSW,Warialda (MPS),1180J2200,0012300Y,109,Hunter New England,146 Long                                          St,Warialda                                               2402,2,Outer Regional,25,S2,Public acute group D,Yes,Yes,Yes,No,Yes,Block-funded hospital
NSW,Warren (MPS),1185K2210,0012310X,112,Western NSW,176 Doctor Kater                                  Dr,Warren                                                 2824,2,Outer Regional,39.5,S2,Public acute group D,Yes,Yes,Yes,No,Yes,Block-funded hospital
NSW,Wauchope,1182H2250,0012320W,110,Mid North Coast,69 High                                          St,Wauchope                                               2446,1,Inner Regional,27.9,S1,Public acute group C,Yes,Yes,No,Yes,Yes,Block-funded hospital
NSW,Waverley War Memorial,1172C2060,0012590W,101,South Eastern Sydney,125 Birrell                                       St,Waverley                                               2024,0,Major Cities,35,N2,Rehabilitation and GEM,Yes,Yes,No,No,Yes,Activity-based funded hospital
NSW,Wee Waa,1180J2210,0012330T,109,Hunter New England,60 Alma                                          St,Wee Waa                                                2388,2,Outer Regional,14.8,S2,Public acute group D,Yes,Yes,Yes,No,Yes,Block-funded hospital
NSW,Wellington,1185K2220,0012350K,112,Western NSW,30 Thornton                                      St,Wellington                                             2820,2,Outer Regional,17,S2,Public acute group D,Yes,Yes,Yes,No,Yes,Block-funded hospital
NSW,Wentworth,1186M2160,0012360J,115,Far West,1 Silver City                                   Hwy,Wentworth                                              2648,2,Outer Regional,15.7,VS,Very small,Yes,Yes,No,No,No,Block-funded hospital
NSW,Wentworth Psychiatric Services,1175D2320,,105,Nepean Blue Mountains,Nepean Hospital,Penrith                                                2750,0,Major Cities,11,O5,Unpeered,Yes,No,No,No,No,Block-funded hospital
NSW,Werris Creek (MPS),1180J2220,0012370H,109,Hunter New England,22 North                                         St,Werris Creek                                           2341,1,Inner Regional,15.8,VS,Very small,Yes,Yes,Yes,No,Yes,Block-funded hospital
NSW,Westmead,1174D2240,0012760T,104,Western Sydney,166 Darcy                                         Rd,Westmead                                               2145,0,Major Cities,835.9,PR,Principal referral,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
NSW,White Cliffs MPS,1186S2510,,115,Far West,Johnston                                      St,White Cliffs                                           2836,4,Very remote,0,VS,Very small,Yes,No,No,No,No,Block-funded hospital
NSW,Wilcannia (MPS),1186S2040,0012380F,115,Far West,14 Ross                                          St,Wilcannia                                              2836,4,Very remote,8,VS,Very small,Yes,Yes,Yes,No,Yes,Block-funded hospital
NSW,Wingham,1180J2260,0012610H,109,Hunter New England,32 Bungay                                        Rd,Wingham                                                2429,1,Inner Regional,32,N2,Rehabilitation and GEM,Yes,Yes,No,No,Yes,Block-funded hospital
NSW,Wollongong,1173P2080,0012400W,108,Illawarra Shoalhaven,348 Crown                                         St,Wollongong                                             2500,0,Major Cities,486.3,PR,Principal referral,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
NSW,Woy Woy,1177B2030,0012650Y,107,Central Coast,7 Kathleen                                      St,Woy Woy                                                2256,0,Major Cities,52.8,N1,Mixed subacute and non-acute,Yes,Yes,No,No,Yes,Activity-based funded hospital
NSW,Wyalong,1184L2260,0012410T,114,Murrumbidgee,70 Ungarie                                       Rd,West Wyalong                                           2671,2,Outer Regional,22,S2,Public acute group D,Yes,Yes,Yes,No,Yes,Block-funded hospital
NSW,Wyong,1177B2060,0012770L,107,Central Coast,Pacific                                       Hwy,Kanwal                                                 2259,0,Major Cities,331.9,L,Public acute group A,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
NSW,Yass,1183N2170,0012420L,113,Southern NSW,145 Meehan                                        St,Yass                                                   2582,1,Inner Regional,10,S2,Public acute group D,Yes,Yes,Yes,No,Yes,Block-funded hospital
NSW,Young,1184N2180,0012430K,114,Murrumbidgee,68 Allanan                                       St,Young                                                  2594,1,Inner Regional,27.6,S1,Public acute group C,Yes,Yes,Yes,Yes,Yes,Block-funded hospital
NT,Alice Springs Hospital,717100072,,702,Central Australia (NT),Gap                                           Rd,Alice Springs                                           870,3,Remote,183,L,Public acute group A,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
NT,Gove Hospital,717100075,,701,Top End (NT),Mathew Flinders                               WAY,Nhulunbuy                                               880,4,Very remote,34,S1,Public acute group C,Yes,Yes,Yes,Yes,Yes,Block-funded hospital
NT,Katherine Hospital,717100074,,701,Top End (NT),Gorge                                         Rd,Katherine                                               850,3,Remote,60,S1,Public acute group C,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
NT,Royal Darwin Hospital,717100071,,701,Top End (NT),Rocklands                                     DV,Tiwi                                                    810,2,Outer Regional,367,PR,Principal referral,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
NT,Tennant Creek Hospital,717100073,,702,Central Australia (NT),Schmidt                                       St,Tennant Creek                                           860,4,Very remote,20,S1,Public acute group C,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
QLD,Alpha Hospital,310000131,,317,Central West (Qld),GORDON                                        St,ALPHA                                                  4724,4,Very remote,4,VS,Very small,Yes,Yes,No,No,Yes,Block-funded hospital
QLD,Atherton Hospital,310000211,,312,Cairns and Hinterland,LOUISE and JACK                               St,ATHERTON                                               4883,2,Outer Regional,57,S1,Public acute group C,Yes,Yes,No,Yes,Yes,Activity-based funded hospital
QLD,Augathella Hospital,310000111,,326,South West (Qld),CAVANAGH                                      St,AUGATHELLA                                             4477,4,Very remote,4,VS,Very small,Yes,Yes,No,No,Yes,Block-funded hospital
QLD,Ayr Hospital,310000191,,313,Townsville,2      CHIPPENDALE                                   St,AYR                                                    4807,2,Outer Regional,32,S1,Public acute group C,Yes,Yes,No,Yes,Yes,Block-funded hospital
QLD,Babinda Hospital,310000212,,312,Cairns and Hinterland,128    MUNRO                                         St,BABINDA                                                4861,2,Outer Regional,22,S2,Public acute group D,Yes,Yes,No,No,Yes,Block-funded hospital
QLD,Baillie Henderson Hospital,340000701,,325,Darling Downs,HOGG and TOR                                  St,TOOWOOMBA                                              4350,1,Inner Regional,112,Ps,Psychiatric,Yes,Yes,No,No,No,Block-funded hospital
QLD,Bamaga Hospital,310000213,,327,Torres and Cape,82     SAGAUKAZ                                      St,BAMAGA                                                 4876,4,Very remote,14,S2,Public acute group D,Yes,Yes,No,No,Yes,Block-funded hospital
QLD,Baralaba Hospital,310000132,,316,Central Queensland,STOPFORD                                      St,BARALABA                                               4702,2,Outer Regional,5,VS,Very small,Yes,Yes,No,No,Yes,Block-funded hospital
QLD,Barcaldine Hospital,310000152,,317,Central West (Qld),OAK                                           St,BARCALDINE                                             4725,4,Very remote,12,S2,Public acute group D,Yes,Yes,No,No,Yes,Block-funded hospital
QLD,Beaudesert Hospital,310000041,,322,Metro South (Qld),64     TINA                                          St,BEAUDESERT                                             4285,1,Inner Regional,32,S2,Public acute group D,Yes,Yes,No,Yes,Yes,Block-funded hospital
QLD,Biggenden Hospital,310000061,,318,Wide Bay,ALICE                                         St,BIGGENDEN                                              4621,2,Outer Regional,7,S2,Public acute group D,Yes,Yes,No,No,Yes,Block-funded hospital
QLD,Biloela Hospital,310000133,,316,Central Queensland,2      HOSPITAL                                      Rd,BILOELA                                                4715,2,Outer Regional,24,S1,Public acute group C,Yes,Yes,No,Yes,Yes,Block-funded hospital
QLD,Blackall Hospital,310000153,,317,Central West (Qld),SHAMROCK                                      St,BLACKALL                                               4472,4,Very remote,18,S2,Public acute group D,Yes,Yes,No,No,Yes,Block-funded hospital
QLD,Blackwater Hospital,310000134,,316,Central Queensland,MACKENZIE                                     St,BLACKWATER                                             4717,2,Outer Regional,10,S2,Public acute group D,Yes,Yes,No,No,Yes,Block-funded hospital
QLD,Boonah Hospital,310000042,,324,West Moreton,11     LEONARD                                       St,BOONAH                                                 4310,1,Inner Regional,22,S2,Public acute group D,Yes,Yes,No,No,Yes,Block-funded hospital
QLD,Bowen Hospital,310000192,,314,Mackay,GREGORY                                       St,BOWEN                                                  4805,2,Outer Regional,27,S1,Public acute group C,Yes,Yes,No,No,Yes,Block-funded hospital
QLD,Bundaberg Hospital,310000062,,318,Wide Bay,BOURBONG                                      St,BUNDABERG                                              4670,1,Inner Regional,264,L,Public acute group A,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
QLD,Caboolture Hospital,310000030,,320,Metro North (Qld),MCKEAN                                        St,CABOOLTURE                                             4510,0,Major Cities,265,M,Public acute group B,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
QLD,Cairns Hospital,310000214,,312,Cairns and Hinterland,THE                                           ESP,CAIRNS                                                 4870,2,Outer Regional,630,L,Public acute group A,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
QLD,Caloundra Hospital,310000043,,319,Sunshine Coast,WEST                                          TCE,CALOUNDRA                                              4551,0,Major Cities,30,M,Public acute group B,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
QLD,Capricorn Coast Hospital,310000144,,316,Central Queensland,8      HOSKYN                                        Dr,YEPPOON                                                4703,1,Inner Regional,22,S1,Public acute group C,Yes,Yes,No,No,Yes,Block-funded hospital
QLD,Charleville Hospital,310000112,,326,South West (Qld),72     KING                                          St,CHARLEVILLE                                            4470,4,Very remote,21,S1,Public acute group C,Yes,Yes,No,Yes,Yes,Block-funded hospital
QLD,Charters Towers Hospital,310000193,,313,Townsville,137    GILL                                          St,CHARTERS TOWERS                                        4820,2,Outer Regional,29,S2,Public acute group D,Yes,Yes,No,Yes,Yes,Block-funded hospital
QLD,Charters Towers Rehabilitation Unit,340000703,,313,Townsville,35     GLADSTONE                                     Rd,CHARTERS TOWERS                                        4820,2,Outer Regional,27,Ps,Psychiatric,Yes,Yes,No,No,No,Block-funded hospital
QLD,Cherbourg Hospital,310000063,,325,Darling Downs,FISHER                                        St,CHERBOURG                                              4605,2,Outer Regional,17,S1,Public acute group C,Yes,Yes,No,No,Yes,Block-funded hospital
QLD,Childers Hospital,310000064,,318,Wide Bay,44     BROADHURST                                    St,CHILDERS                                               4660,1,Inner Regional,15,S2,Public acute group D,Yes,Yes,No,No,Yes,Block-funded hospital
QLD,Chinchilla Hospital,310000091,,325,Darling Downs,SLESSAR                                       St,CHINCHILLA                                             4413,2,Outer Regional,22,S1,Public acute group C,Yes,Yes,No,Yes,Yes,Block-funded hospital
QLD,Clermont Hospital,310000171,,314,Mackay,FRANCIS                                       St,CLERMONT                                               4721,3,Remote,10,S2,Public acute group D,Yes,Yes,No,No,Yes,Block-funded hospital
QLD,Cloncurry Hospital,310000243,,315,North West (Qld),1      MUSGRAVE                                      St,CLONCURRY                                              4824,3,Remote,8,S2,Public acute group D,Yes,Yes,No,No,Yes,Block-funded hospital
QLD,Collinsville Hospital,310000194,,314,Mackay,GARRICK                                       St,COLLINSVILLE                                           4804,3,Remote,8,S2,Public acute group D,Yes,Yes,No,No,Yes,Block-funded hospital
QLD,Cooktown Hospital,310000216,,327,Torres and Cape,48     HOPE                                          St,COOKTOWN                                               4895,3,Remote,24,S2,Public acute group D,Yes,Yes,No,Yes,Yes,Block-funded hospital
QLD,Cunnamulla Hospital,310000113,,326,South West (Qld),56     WICKS                                         St,CUNNAMULLA                                             4490,4,Very remote,20,S2,Public acute group D,Yes,Yes,No,No,Yes,Block-funded hospital
QLD,Dalby Hospital,310000092,,325,Darling Downs,HOSPITAL                                      Rd,DALBY                                                  4405,1,Inner Regional,45,S1,Public acute group C,Yes,Yes,No,Yes,Yes,Activity-based funded hospital
QLD,Dirranbandi Hospital,310000114,,326,South West (Qld),JANE and COWILDI                              St,DIRRANBANDI                                            4486,4,Very remote,7,S2,Public acute group D,Yes,Yes,No,No,Yes,Block-funded hospital
QLD,Doomadgee Hospital,310000252,,315,North West (Qld),SHARPE                                        St,DOOMADGEE                                              4830,4,Very remote,7,S2,Public acute group D,Yes,Yes,No,No,Yes,Block-funded hospital
QLD,Dysart Hospital,310000176,,314,Mackay,QUEEN ELIZABETH                               Dr,DYSART                                                 4745,2,Outer Regional,9,S2,Public acute group D,Yes,Yes,No,No,Yes,Block-funded hospital
QLD,Eidsvold Hospital,310000065,,318,Wide Bay,CRACOW                                        Rd,EIDSVOLD                                               4627,2,Outer Regional,4,S2,Public acute group D,Yes,Yes,No,No,Yes,Block-funded hospital
QLD,Ellen Barron Family Centre,310000017,,321,Children's Health Queensland,HAMILTON                                      Rd,CHERMSIDE                                              4032,0,Major Cities,49,O1,Early parenting centres,Yes,Yes,No,No,Yes,Block-funded hospital
QLD,Emerald Hospital,310000135,,316,Central Queensland,HOSPITAL                                      Rd,EMERALD                                                4720,2,Outer Regional,38,S1,Public acute group C,Yes,Yes,No,Yes,Yes,Activity-based funded hospital
QLD,Esk Hospital,310000044,,324,West Moreton,30     HIGHLAND                                      St,ESK                                                    4312,1,Inner Regional,20,S2,Public acute group D,Yes,Yes,No,No,Yes,Block-funded hospital
QLD,Gatton Hospital,310000045,,324,West Moreton,97     WILLIAM                                       St,GATTON                                                 4343,1,Inner Regional,22,S2,Public acute group D,Yes,Yes,No,No,Yes,Block-funded hospital
QLD,Gayndah Hospital,310000066,,318,Wide Bay,69     WARTON                                        St,GAYNDAH                                                4625,2,Outer Regional,10,S2,Public acute group D,Yes,Yes,No,No,Yes,Block-funded hospital
QLD,Gin Gin Hospital,310000067,,318,Wide Bay,5      KING                                          St,GIN GIN                                                4671,2,Outer Regional,6,S2,Public acute group D,Yes,Yes,No,No,Yes,Block-funded hospital
QLD,Gladstone Hospital,310000136,,316,Central Queensland,PARK                                          St,GLADSTONE                                              4680,1,Inner Regional,75,M,Public acute group B,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
QLD,Gold Coast University Hospital,310000936,,323,Gold Coast,1      HOSPITAL                                      BVD,SOUTHPORT                                              4215,0,Major Cities,788,PR,Principal referral,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
QLD,Goondiwindi Hospital,310000093,,325,Darling Downs,BOWEN                                         St,GOONDIWINDI                                            4390,2,Outer Regional,33,S1,Public acute group C,Yes,Yes,No,Yes,Yes,Block-funded hospital
QLD,Gordonvale Hospital,310000220,,312,Cairns and Hinterland,HIGHLEIGH                                     Rd,GORDONVALE                                             4865,2,Outer Regional,24,N1,Mixed subacute and non-acute,Yes,Yes,No,No,Yes,Block-funded hospital
QLD,Gympie Hospital,310000068,,319,Sunshine Coast,12     HENRY                                         St,GYMPIE                                                 4570,1,Inner Regional,91,M,Public acute group B,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
QLD,Herberton Hospital,310000221,,312,Cairns and Hinterland,BERTHA                                        St,HERBERTON                                              4887,2,Outer Regional,38,N1,Mixed subacute and non-acute,Yes,Yes,No,No,Yes,Block-funded hospital
QLD,Hervey Bay Hospital,310000069,,318,Wide Bay,NISSEN and URAWEEN                            Rd,PIALBA                                                 4655,1,Inner Regional,168,L,Public acute group A,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
QLD,Home Hill Hospital,310000195,,313,Townsville,EIGHTH                                        Ave,HOME HILL                                              4806,2,Outer Regional,14,VS,Very small,Yes,Yes,No,No,Yes,Block-funded hospital
QLD,Hughenden Hospital,310000244,,313,Townsville,14     RICHMOND HILL                                 Dr,HUGHENDEN                                              4821,4,Very remote,9,S2,Public acute group D,Yes,Yes,No,No,Yes,Block-funded hospital
QLD,Ingham Hospital,310000196,,313,Townsville,2      MCILWRAITH                                    St,INGHAM                                                 4850,2,Outer Regional,32,S2,Public acute group D,Yes,Yes,No,Yes,Yes,Block-funded hospital
QLD,Inglewood Hospital,310000094,,325,Darling Downs,CUNNINGHAM                                    Hwy,INGLEWOOD                                              4387,2,Outer Regional,10,S2,Public acute group D,Yes,Yes,No,No,Yes,Block-funded hospital
QLD,Injune Hospital,310000115,,326,South West (Qld),FIFTH                                         Ave,INJUNE                                                 4454,4,Very remote,5,S2,Public acute group D,Yes,Yes,No,No,Yes,Block-funded hospital
QLD,Innisfail Hospital,310000222,,312,Cairns and Hinterland,87     RANKIN                                        St,INNISFAIL                                              4860,2,Outer Regional,48,S1,Public acute group C,Yes,Yes,No,Yes,Yes,Activity-based funded hospital
QLD,Ipswich Hospital,310000015,,324,West Moreton,CHELMSFORD                                    Ave,IPSWICH                                                4305,0,Major Cities,430,L,Public acute group A,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
QLD,Jandowae Hospital,310000095,,325,Darling Downs,13     DALBY                                         St,JANDOWAE                                               4410,2,Outer Regional,12,VS,Very small,Yes,Yes,No,No,Yes,Block-funded hospital
QLD,Joyce Palmer Health Service,310000197,,313,Townsville,BEACH                                         Rd,PALM ISLAND                                            4816,3,Remote,11,S2,Public acute group D,Yes,Yes,No,No,Yes,Block-funded hospital
QLD,Julia Creek Hospital,310000245,,315,North West (Qld),1      BURKE                                         St,JULIA CREEK                                            4823,4,Very remote,6,S2,Public acute group D,Yes,Yes,No,No,Yes,Block-funded hospital
QLD,Kilcoy Hospital,310000046,,320,Metro North (Qld),19     BROWN                                         St,KILCOY                                                 4515,1,Inner Regional,21,S2,Public acute group D,Yes,Yes,No,No,Yes,Block-funded hospital
QLD,Kingaroy Hospital,310000070,,325,Darling Downs,166    YOUNGMAN                                      St,KINGAROY                                               4610,1,Inner Regional,49,S1,Public acute group C,Yes,Yes,No,Yes,Yes,Activity-based funded hospital
QLD,Kirwan Mental Health Rehabilitation Unit,340000715,,313,Townsville,138    THURINGOWA                                    Dr,KIRWAN                                                 4817,2,Outer Regional,30,Ps,Psychiatric,Yes,Yes,No,No,No,Block-funded hospital
QLD,Lady Cilento Children's Hospital,310000202,,321,Children's Health Queensland,27     RAYMOND                                       TCE,SOUTH BRISBANE                                         4101,0,Major Cities,361,W3,Childrens,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
QLD,Laidley Hospital,310000047,,324,West Moreton,75     WILLIAM                                       St,LAIDLEY                                                4341,1,Inner Regional,15,S2,Public acute group D,Yes,Yes,No,No,Yes,Block-funded hospital
QLD,Logan Hospital,310000029,,322,Metro South (Qld),ARMSTRONG and LOGANLEA                        Rd,MEADOWBROOK                                            4131,0,Major Cities,438,L,Public acute group A,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
QLD,Longreach Hospital,310000156,,317,Central West (Qld),JABIRU                                        St,LONGREACH                                              4730,4,Very remote,27,S1,Public acute group C,Yes,Yes,No,Yes,Yes,Block-funded hospital
QLD,Mackay Base Hospital,310000172,,314,Mackay,475    BRIDGE                                        Rd,MACKAY                                                 4740,1,Inner Regional,220,L,Public acute group A,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
QLD,Maleny Hospital,310000048,,319,Sunshine Coast,BEAN                                          St,MALENY                                                 4552,1,Inner Regional,24,S2,Public acute group D,Yes,Yes,No,No,Yes,Block-funded hospital
QLD,Mareeba Hospital,310000223,,312,Cairns and Hinterland,21     LLOYD                                         St,MAREEBA                                                4880,2,Outer Regional,53,S1,Public acute group C,Yes,Yes,No,Yes,Yes,Activity-based funded hospital
QLD,Maryborough Hospital,310000071,,318,Wide Bay,185    WALKER                                        St,MARYBOROUGH                                            4650,1,Inner Regional,92,M,Public acute group B,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
QLD,Mater Adult Hospital,310000001,,997,Not applicable,RAYMOND                                       TCE,SOUTH BRISBANE                                         4101,0,Major Cities,260,L,Public acute group A,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
QLD,Mater Mother's Hospital,310000003,,997,Not applicable,RAYMOND                                       TCE,SOUTH BRISBANE                                         4101,0,Major Cities,128,W1,Womens,Yes,Yes,No,Yes,Yes,Activity-based funded hospital
QLD,Miles Hospital,310000097,,325,Darling Downs,MARIAN                                        St,MILES                                                  4415,2,Outer Regional,13,S2,Public acute group D,Yes,Yes,No,No,Yes,Block-funded hospital
QLD,Millmerran Hospital,310000098,,325,Darling Downs,50     COMMENS                                       St,MILLMERRAN                                             4357,1,Inner Regional,11,S2,Public acute group D,Yes,Yes,No,No,Yes,Block-funded hospital
QLD,Mitchell Hospital,310000116,,326,South West (Qld),ANN                                           St,MITCHELL                                               4465,4,Very remote,12,S2,Public acute group D,Yes,Yes,No,No,Yes,Block-funded hospital
QLD,Monto Hospital,310000072,,318,Wide Bay,35     FLINDERS                                      St,MONTO                                                  4630,2,Outer Regional,14,S2,Public acute group D,Yes,Yes,No,No,Yes,Block-funded hospital
QLD,Moranbah Hospital,310000173,,314,Mackay,ELLIOTT                                       St,MORANBAH                                               4744,2,Outer Regional,12,S2,Public acute group D,Yes,Yes,No,No,Yes,Block-funded hospital
QLD,Mornington Island Hospital,310000249,,315,North West (Qld),LARDIL                                        St,MORNINGTON ISLAND                                      4871,4,Very remote,11,S2,Public acute group D,Yes,Yes,No,No,Yes,Block-funded hospital
QLD,Mossman Hospital,310000224,,312,Cairns and Hinterland,9      HOSPITAL                                      St,MOSSMAN                                                4873,2,Outer Regional,32,S1,Public acute group C,Yes,Yes,No,No,Yes,Block-funded hospital
QLD,Mount Isa Hospital,310000246,,315,North West (Qld),30     CAMOOWEAL                                     St,MOUNT ISA                                              4825,3,Remote,73,M,Public acute group B,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
QLD,Mount Morgan Hospital,310000139,,316,Central Queensland,BLACK                                         St,MOUNT MORGAN                                           4714,1,Inner Regional,10,S2,Public acute group D,Yes,Yes,No,No,Yes,Block-funded hospital
QLD,Moura Hospital,310000140,,316,Central Queensland,14     NOTT                                          St,MOURA                                                  4718,2,Outer Regional,4,S2,Public acute group D,Yes,Yes,No,No,Yes,Block-funded hospital
QLD,Mundubbera Hospital,310000074,,318,Wide Bay,96     LEICHHARDT                                    St,MUNDUBBERA                                             4626,2,Outer Regional,4,S2,Public acute group D,Yes,Yes,No,No,Yes,Block-funded hospital
QLD,Mungindi Hospital,310000117,,326,South West (Qld),BARWON                                        St,MUNGINDI                                               2406,3,Remote,8,S2,Public acute group D,Yes,Yes,No,No,Yes,Block-funded hospital
